Character,First Name,Gender,Actor(s),Appearances,Rank,Posting,Position,Species
Airiam,Airiam,f,"Sara Mitish, Hannah Cheesman",DSC,Lt. Commander,USS Discovery,Science Officer,Augment
Jonathan Archer,Jonathan,m,Scott Bakula,ENT,Captain,Enterprise NX-01,Commanding Officer,Human
Soji Asha,Soji,f,Isa Briones,STP,Civilian,Romulan Reclamation Site,Anthropologist,Android
Ayala,Ayala,m,Tarik Ergin,VOY,Lieutenant Junior Grade,USS Voyager,"Helmsman, Security Officer, Maquis",Human
Azan,Azan,m,Kurt Wetherill,VOY,Civilian,USS Voyager,,Wysanti
Reginald Barclay,Reginald,m,Dwight Schultz,"TNG, FCT, VOY","Lt. Commander, Lieutenant Junior Grade","Starfleet Command, USS Enterprise-E, USS Enterprise-D","Pathfinder Project, Engineering Officer",Human
Bareil Antos,Bareil,m,Philip Anglim,DS9,Vedek,Bajor resident,Bajoran Religious Leader,Bajoran
Julian Bashir,Julian,m,Alexander Siddig,"DS9, TNG","Lieutenant, Lieutenant Junior Grade",Deep Space 9,Chief Medical Officer,Human
B'Etor,B'Etor,f,Gwynyth Walsh,DS9,Commander,Bird of Prey,First Officer,Klingon
Brad Boimler,Brad,m,Jack Quaid,LD,Ensign,USS Cerritos,,Human
Boothby,Boothby,m,Ray Walston,"TNG, VOY",Civilian,Starfleet Academy,Groundskeeper,Human
The Borg Queen,,f,"Susanna Thompson, Alice Krige","VOY, FCT",Queen,Borg Collective,Leader of Borg Collective,Borg
Phillip Boyce,Phillip,m,John Hoyt,TC,Lt. Commander,USS Enterprise,Chief Medical Officer,Human
Brunt,Brunt,m,Jeffrey Combs,DS9,Civilian,Ferenginar resident,Ferengi Commerce Liquidator,Ferengi
R.A. Bryce,,m,Ronnie Rowe Jr.,DSC,Lieutenant Junior Grade,USS Discovery,Communications Officer,Human
Gabrielle Burnham,Gabrielle,f,Sonja Sohn,DSC,,Section 31,"Intelligence Operative, Astrophysicist",Human
Michael Burnham,Michael,f,Sonequa Martin-Green,DSC,"Commander, Crewman","USS Discovery, USS Shenzhou","Science Officer, Science Specialist, First Officer",Human
Joseph Carey,Joseph,m,Josh Clark,VOY,Lieutenant,USS Voyager,Engineering Officer,Human
Chakotay,Chakotay,m,Robert Beltran,VOY,Commander,USS Voyager,"First Officer, Maquis",Human
Christine Chapel,Christine,f,Majel Barrett,"TOS, TAS, ST:I, ST:V","Commander, Crewman","Starfleet Command, USS Enterprise","Starfleet Command Officer, Medical Officer, Nurse",Human
Pavel Chekov,Pavel,m,"Walter Koenig, Anton Yelchin","TOS, ST:I, ST:II, ST:III, ST:VI, GEN, Reboot","Commander, Lieutenant, Ensign","USS Enterprise-A, USS Reliant, USS Enterprise ","Chief Security Officer, First Officer, Weapons Officer, Navigator ",Human
Chell,Chell,m,Derek McGrath,VOY,Crewman,USS Voyager,"Engineering Officer, Maquis ",Bolian
J. M. Colt,,f,Laurel Goodwin,TC,Yeoman,USS Enterprise,Yeoman,Human
Katrina Cornwell,Katrina,f,Jayne Brook,DSC,Vice Admiral,Starfleet Command,Admiral of Starfleet,Human
Kimara Cretak,Kimara,f,"Adrienne Barbeau, Megan Cole",DS9,Senator,Deep Space 9,Romulan Representative,Romulan
Beverly Crusher,Beverly,f,Gates McFadden,"TNG, GEN,FCT, INS, NEM",Commander,"USS Enterprise-E, USS Enterprise-D, Starfleet Command","Chief Medical Officer, Head of Starfleet Medical",Human
Wesley Crusher,Wesley,m,Wil Wheaton,"TNG, NEM","Lieutenant Junior Grade, Cadet, Ensign, Civilian","USS Titan, Starfleet Academy, USS Enterprise-D","Starfleet Cadet, Helmsman, Engineering Officer",Human
Hugh Culber,Hugh,m,Wilson Cruz,DSC,Lt. Commander,USS Discovery,Chief Medical Officer,Human
Jal Culluh,Jal,m,Anthony De Longis,VOY,First Maje,Kazon-Nistrim,Leader of Kazon-Nistrim,Kazon
Elizabeth Cutler,Elizabeth,f,Kellie Waymire,ENT,Crewman,Enterprise NX-01,Entomologist,Human
Leonardo da Vinci,Leonardo,m,John Rhys-Davies,VOY,,USS Voyager Program,Holographic Character,Hologram
Damar,Damar,m,Casey Biggs,DS9,"Legate, Gul, Glinn","Cardassia Prime, CMS Groumall ","Leader of Cardassian Union, Dominion Leader, Vigilante, Cardassian Officer",Cardassian
Daniels,Daniels,m,Matt Winston,ENT,Crewman,Unknown,Temporal Agent,Human
Data,Data,m,Brent Spiner,"TNG, GEN, FCT, INS, NEM, STP",Lt. Commander,"USS Enterprise-E, USS Enterprise-D",Chief Operations Officer,Android
Ezri Dax,Ezri,f,Nicole de Boer,DS9,"Lieutenant Junior Grade, Ensign",Deep Space 9,Counselor,Trill
Jadzia Dax,Jadzia,f,Terry Farrell,DS9,"Lt. Commander, Lieutenant ",Deep Space 9,Chief Science Officer,Trill
Degra,Degra,m,Randy Oglesby,ENT,Civilian,Xindi Council,Scientist,Xindi-Primate
Keyla Detmer,Keyla,f,Emily Coutts,DSC,"Lieutenant, Lieutenant Junior Grade","USS Discovery, USS Shenzhou",Helmsman,Human
The Doctor,,m,Robert Picardo,VOY,,USS Voyager,Chief Medical Officer,Hologram
Dolim,Dolim,m,Scott MacDonald,ENT,Commander,Xindi Council,Council Member,Xindi-Reptilian
Dukat,Dukat,m,Marc Alaimo,DS9,Gul,Cardassia Prime,"Religious Leader, Leader of Cardassia, Vigilante, Freighter Commander, Cardassian Officer",Cardassian
Michael Eddington,Michael,m,Kenneth Marshall,DS9,"Civilian, Lt. Commander",Deep Space 9,"Maquis, Security Officer ",Human
Elnor,Elnor,m,Evan Evagora,STP,Qowat Milat,Vashti resident,Qalankhkai to Picard,Romulan
Evek,Evek,m,Richard Poe,"TNG, DS9, VOY",Gul,CMS Vetar,Commanding Officer,Cardassian
Female Changeling,,f,Salome Jens,DS9,,Cardassia Prime,Leader of Dominion,Changeling
Vic Fontaine,Vic,m,James Darren,DS9,,Deep Space 9 Program,Holographic Entertainer,Hologram
Maxwell Forrest,Maxwell,m,Vaughn Armstrong,ENT,Vice Admiral,Starfleet Command,NX Project,Human
Elim Garak,Elim,m,Andrew Robinson,DS9,Civilian,Deep Space 9 resident,Tailor,Cardassian
Garrison,Garrison,m,Adam Roarke,TC,Chief Petty Officer,USS Enterprise,Communications Officer,Human
Philippa Georgiou,Philippa,f,Michelle Yeoh,DSC,Captain,"NCIA-93, USS Shenzhou, Section 31","Commanding Officer Intelligence Operative, Emperor",Human
Sonya Gomez,Sonya,f,Lycia Naff,TNG,Ensign,USS Enterprise-D,Engineering Officer,Human
Gowron,Gowron,m,Robert O'Reilly,"TNG, DS9",Chancellor,Klingon High Council,Chancellor of Klingon Empire,Klingon
Amanda Grayson,Amanda,f,"Jane Wyatt, Winona Ryder, Mia Kirshner","TOS, TAS, ST:IV, ST:V, ST09, DS9",Civilian,Vulcan resident,,Human
Guinan,Guinan,f,Whoopi Goldberg,"TNG, GEN, NEM",Civilian,USS Enterprise-D,Bartender,El-Aurian
J. Hayes,,m,Steven Culp,ENT,Major,Enterprise NX-01,MACO Officer,Human
Erika Hernandez,Erika,f,Ada Maris,ENT,Captain,Columbia NX-02,Commanding Officer,Human
Hogan,Hogan,m,Simon Billig,VOY,Ensign,USS Voyager,"Engineering Officer, Maquis ",Human
Mr. Homn,,m,Carel Struycken,TNG,Civilian,Betazed resident,Servant,Unknown
Hugh,Hugh,m,Jonathan Del Arco,"TNG, STP",,Romulan Reclamation Site,"Borg Drone, Director of Romulan Reclamation Site","Borg, Human"
Icheb,Icheb,m,"Manu Intiraymi, Casey King","VOY, STP","Civilian, Lieutenant ","USS Voyager resident, USS Coleman","Astrometrics, Command Officer","Borg, Brunali"
Ishka,Ishka,f,"Cecily Adams, Andrea Martin",DS9,Civilian,Ferenginar resident,Philanthropist,Ferengi
Kathryn Janeway,Kathryn,f,Kate Mulgrew,"VOY, NEM","Vice Admiral, Captain","Starfleet Command, USS Voyager","Starfleet Admiral, Commanding Officer",Human
Jannar,Jannar,m,Rick Worthy,ENT,Civilian,Xindi Council,Scientist,Xindi-Arboreal
Michael Jonas,Michael,m,Raphael Sbarge,VOY,Crewman,USS Voyager,"Engineering Officer, Maquis ",Human
Agnes Jurati,Agnes,f,Alison Pill,STP,Civilian,Daystrom Institute,Cyberneticist,Human
K'Ehleyr,K'Ehleyr,f,Suzie Plakson,TNG,Ambassador,Earth resident,Federation Ambassador,Klingon/Human
Kes,Kes,f,Jennifer Lien,VOY,Civilian,USS Voyager,"Medic, Aeroponics",Ocampa
Harry Kim,Harry,m,Garrett Wang,VOY,Ensign,USS Voyager,Chief Operations Officer,Human
Kira Nerys,Kira,f,Nana Visitor,DS9,"Colonel, Commander, Major ",Deep Space 9,"Commanding Officer, First Officer",Bajoran
James T. Kirk,James,m,"William Shatner, Chris Pine","TOS, TAS, ST:I, ST:II, ST:III, ST:VI, GEN, Reboot","Captain, Rear Admiral, Cadet ","USS Enterprise-A, USS Enterprise ","Commanding Officer, First Officer",Human
Kol,Kol,m,Kenneth Mitchell,DSC,"General, Klingon Empire",Klingon High Council,Council Member,Klingon
Kor,Kor,m,John Colicos,"TOS, TAS, DS9","Dahar Master, Commander","Klingon Defense Force, IKS Klothos","Defence Officer, Commanding Officer ",Klingon
Kurn,Kurn,m,Tony Todd,"TNG, DS9","Crewman, Captain","Deep Space 9, IKS Hegh'ta","Security Officer, Commanding Officer ",Klingon
Geordi La Forge,Geordi,m,LeVar Burton,"TNG, GEN, FCT, INS, NEM, VOY","Lt. Commander, Lieutenant, Lieutenant Junior Grade","USS Enterprise-E, USS Enterprise-D","Chief Engineer, Helmsman",Human
Laris,Laris,f,Orla Brady,STP,Civilian,Earth resident,Vineyard Manager,Romulan
Leeta,Leeta,f,Chase Masterson,DS9,Civilian,Deep Space 9 resident,Dabo Girl,Bajoran
Robin Lefler,Robin,f,Ashley Judd,TNG,Ensign,USS Enterprise-D,Engineering Officer,Human
Leland,Leland,m,Alan van Sprang,DSC,Captain,"NCIA-93, Section 31","Commanding Officer, Intelligence Operative",Human
Li Nalas,Li,m,Richard Beymer,DS9,Navarch,Deep Space 9,Liaison Officer,Bajoran
Linus,Linus,m,David Benjamin Tomlinson,DSC,Lieutenant Junior Grade,USS Discovery,Science Officer,Saurian
Gabriel Lorca,Gabriel,m,Jason Isaacs,DSC,Captain,USS Discovery,Commanding Officer,Human
Lore,Lore,m,Brent Spiner,TNG,Civilian,,,Android
L'Rell,L'Rell,f,Mary Chieffo,DSC,Chancellor,Klingon High Council,Chancellor of Klingon Empire,Klingon
Lursa,Lursa,f,Barbara March,"TNG, GEN, DS9",Captain,Bird of Prey,Commanding Officer,Klingon
Maihar'du,Maihar'du,m,Tiny Ron Taylor,DS9,Civilian,Ferenginar resident,Attendant to Grand Nagus,Hupyrian
Mallora,Mallora,m,Tucker Smallwood,ENT,Civilian,Xindi Council,Chairman,Xindi-Primate
Carol Marcus,Carol,f,"Bibi Besch, Alice Eve","ST:II, ST:III, STID","Civilian, Lieutenant ","Project Genesis, USS Enterprise",Biologist,Human
Beckett Mariner,Beckett,f,Tawny Newsome,LD,Ensign,USS Cerritos,,Human
Martok,Martok,m,J. G. Hertzler,DS9,"Chancellor, General","Deep Space 9, IKS Rotarran","Chancellor of Klingon Empire, Commander of Klingon Forces",Klingon
Travis Mayweather,Travis,m,Anthony Montgomery,ENT,Ensign,Enterprise NX-01,Helmsman,Human
Leonard McCoy,Leonard,m,"DeForest Kelley, Karl Urban","TOS, TAS, ST:I, ST:II, ST:III, ST:VI, Reboot, TNG","Admiral, Commander, Lt. Commander","USS Enterprise-A, USS Enterprise ",Chief Medical Officer,Human
Mezoti,Mezoti,f,Marley S. McClean,VOY,Civilian,USS Voyager Passenger,,Norcadian
Mila,Mila,f,Julianna McCarthy,DS9,Civilian,Cardassia resident,Housekeeper,Cardassian
Mora Pol,Mora,m,James Sloyan,DS9,Civilian,Bajor resident,Scientist,Bajoran
Morn,Morn,m,Mark Allen Shepherd,"DS9, VOY",Civilian,Deep Space 9 resident,Courier,Lurian
Mot,Mot,m,Ken Thorley,TNG,Civilian,USS Enterprise-D,Barber,Bolian
Harry Mudd,Harry,m,"Roger C. Carmel, Rainn Wilson","TOS, TAS, DSC, ST",Civilian,,Smuggler,Human
Raffi Musiker,Raffi,f,Michelle Hurd,STP,Civilian,,,Human
Narek,Narek,m,Harry Treadaway,STP,Zhat Vash Operative,,,Romulan
Alynna Nechayev,Alynna,f,Natalia Nogulich,"TNG, DS9",Fleet Admiral,Starfleet Command,Admiral of Starfleet,Human
Neelix,Neelix,m,Ethan Phillips,VOY,"Ambassador, Civilian","Talaxian Asteroid Colony, USS Voyager","Federation Ambassador, Chef",Talaxian
Nhan,Nhan,f,Rachael Ancheril,DSC,Commander,"USS Discovery, USS Enterprise",Chief Security Officer,Barzan
Susan Nicoletti,Susan,f,Christine Delgado,VOY,Lieutenant Junior Grade,USS Voyager,Engineering Officer,Human
Nilsson,Nilsson,f,Sara Mitish,DSC,Lieutenant,USS Discovery,Operations Officer,Human
Nog,Nog,m,Aron Eisenberg,DS9,"Lieutenant Junior Grade, Ensign, Cadet, Civilian","Deep Space 9, Starfleet Academy","Operations Officer, Starfleet Cadet, Bar Employee, Student",Ferengi
Kashimuro Nozawa,Kashimuro,m,John Tampoya,VOY,Ensign,USS Voyager,Operations Officer,Human
Keiko O'Brien,Keiko,f,Rosalind Chao,"TNG, DS9",Civilian,"Deep Space 9, USS Enterprise-D","Teacher, Botanist ",Human
Miles O'Brien,Miles,f,Colm Meaney,"TNG, DS9",Chief Petty Officer,"Starfleet Academy, Deep Space 9, USS Enterprise-D","Academy Professor, Chief of Operations, Transporter Chief, Helmsman  ",Human
Molly O'Brien,Molly,f,Hana Hatae,DS9,Civilian,Deep Space 9 resident,Student,Human
Odo,Odo,m,René Auberjonois,DS9,Constable (unofficial),Deep Space 9,Chief of Security,Changeling
Alyssa Ogawa,Alyssa,f,Patti Yasutake,"TNG, GEN, FCT","Lieutenant Junior Grade, Ensign","USS Enterprise-E, USS Enterprise-D",Nurse,Human
Oh,Oh,f,Tamlyn Tomita,STP,Commodore,Starfleet Command,Head of Starfleet Security,Vulcan
Opaka Sulan,Opaka,f,Camille Saviola,DS9,Kai,Bajor resident,Bajoran Religious Leader (S1),Bajoran
Joann Owosekun,Joann,f,Oyin Oladejo,DSC,Lieutenant Junior Grade,USS Discovery,Operations Officer,Human
Owen Paris,Owen,m,"Warren Munson, Richard Herd",VOY,Admiral,Starfleet Command,Pathfinder Project,Human
Tom Paris,Tom,m,Robert Duncan McNeill,VOY,"Lieutenant Junior Grade, Ensign",USS Voyager,Helmsman,Human
Phlox,Phlox,m,John Billingsley,ENT,Civilian,Enterprise NX-01,Chief Medical Officer,Denobulan
Jean-Luc Picard,Jean-Luc,m,Patrick Stewart,"TNG, GEN, FCT, INS, NEM, DS9, STP","Admiral, Captain","USS Enterprise-E, USS Enterprise-D",Commanding Officer,Human
Christopher Pike,Christopher,m,"Jeffrey Hunter, Bruce Greenwood, Anson Mount","TC, TOS, ST09, STID, DSC, SNW","Admiral, Captain","Starfleet Command, USS Enterprise","Starfleet Admiral, Commanding Officer",Human
Tracy Pollard,Tracy,f,Raven Dauda,DSC,Lieutenant Junior Grade,USS Discovery,Medical Officer,Human
Katherine Pulaski,Katherine,f,Diana Muldaur,TNG,Commander,USS Enterprise-D,Chief Medical Officer,Human
Q,Q,m,John de Lancie,"TNG, DS9, VOY",,Q Continuum resident,Q Continuum,Q
Quark,Quark,m,Armin Shimerman,"TNG, DS9, VOY",Civilian,Deep Space 9 resident,Bar Owner,Ferengi
Janice Rand,Janice,m,Grace Lee Whitney,"TOS, ST:I, ST:IV, ST:VI, VOY","Commander, Chief Petty Officer, Crewman, Yeoman","USS Excelsior, Starfleet Command, USS Enterprise","First Officer, Starfleet Command Officer, Transporter Chief, Yeoman ",Human
Rebi,Rebi,m,Cody Wetherill,VOY,Civilian,USS Voyager Passenger,,Wysanti
Malcolm Reed,Malcolm,m,Dominic Keating,ENT,Lieutenant,Enterprise NX-01,Tactical Officer,Human
Jett Reno,Jett ,f,Tig Notaro,DSC,Lt. Commander,"USS Discovery, USS Hiawatha",Chief Engineer,Human
Gen Rhys,Gen,m,Patrick Kwok-Choon,DSC,Lieutenant,USS Discovery,Tactical Officer,Human
William Riker,William,m,Jonathan Frakes,"TNG, GEN,FCT,INS,NEM, VOY, ENT, STP","Captain, Commander","USS Titan, USS Enterprise-E, USS Enterprise-D","Commanding Officer, First Officer",Human
"Cristobal ""Chris"" Rios",Cristobal,m,Santiago Cabrera,STP,Civilian,La Sirena,Civilian Starship Captain,Human
Narissa Rizzo,Narissa,f,Peyton List,STP,Zhat Vash Operative,,,Romulan
Ro Laren,Ro,f,Michelle Forbes,TNG,"Lieutenant, Ensign",USS Enterprise-D,"Maquis, Helmsman",Bajoran
Rom,Rom,m,Max Grodénchik,DS9,"Grand Nagus, Crewman, Civilian",Deep Space 9,"Grand Nagus, Maintenance Engineer, Bar Employee",Ferengi
William Ross,William,m,Barry Jenner,DS9,Vice Admiral,Deep Space 9,Military Commander,Human
Michael Rostov,Michael,m,Joseph Will,ENT,Crewman,Enterprise NX-01,Engineering Officer,Human
Alexander Rozhenko,Alexander,m,"Jon Paul Steuer, Brian Bonsall","TNG, DS9","Crewman, Civilian",IKS Rotarran,Weapons Officer,Klingon/Human
Saavik,Saavik,f,"Kirstie Alley, Robin Curtis","ST:II, ST:III, ST:IV",Lieutenant Junior Grade,"USS Grissom, USS Enterprise ","Science Officer, Navigator",Vulcan/Romulan
Sarek,Sarek,m,"Mark Lenard, Ben Cross, James Frain","TOS, TAS, ST:I, ST:III, ST:IV, ST:VI, ST09, TNG, DSC",Ambassador,Vulcan resident,Federation Ambassador,Vulcan
Saru,Saru,m,Doug Jones,"DSC, ST",Commander,"USS Discovery, USS Shenzhou","First Officer, Science Officer ",Kelpien
Hoshi Sato,Hoshi,f,Linda Park,ENT,Ensign,Enterprise NX-01,Communications Officer,Human
Sela,Sela,f,Denise Crosby,TNG,Commander,Unknown,Romulan Officer,Romulan/Human
Seska,Seska,f,Martha Hackett,VOY,Ensign,"Kazon-Nistrim, USS Voyager","Kazon Affiliate, Engineering Officer, Science Officer, Maquis Infiltrator",Cardassian
Seven of Nine,Seven,f,Jeri Ryan,"VOY, STP",Civilian,USS Voyager,Astrometrics,"Borg, Human"
Montgomery Scott,Montgomery,m,"James Doohan, Simon Pegg","TOS, TAS, ST:I, ST:II, ST:III, ST:VI, GEN, Reboot, TNG","Captain, Commander, Lt. Commander","USS Enterprise-A, USS Enterprise ",Chief Engineer,Human
Shakaar Edon,Shakaar,m,Duncan Regehr,DS9,First Minister,Bajor resident,First Minister of Bajor,Bajoran
Thy'lek Shran,Thy'lek,m,Jeffrey Combs,ENT,General,Kumari,Andorian Imperial Guard,Andorian
Silik,Silik,m,John Fleck,ENT,Senior Official,Suliban Cabal,Terrorist,Suliban
Benjamin Sisko,Benjamin,m,Avery Brooks,DS9,"Captain, Commander",Deep Space 9,Commanding Officer,Human
Jake Sisko,Jake,m,Cirroc Lofton,DS9,Civilian,Deep Space 9 resident,"Journalist, Student",Human
Jennifer Sisko,Jennifer,f,Felecia M. Bell,DS9,Lieutenant ,USS Saratoga,Starfleet Officer,Human
Joseph Sisko,Joseph,m,Brock Peters,DS9,Civilian,Earth resident,Restaurant Owner,Human
Sarah Sisko,Sarah,f,Deborah Lacey,DS9,Civilian,Earth resident,Holophotographer,Human
Luther Sloan,Luther,m,William Sadler,DS9,,Section 31,Intelligence Operative,Human
Soval,Soval,m,Gary Graham,ENT,Ambassador,Earth,Vulcan Ambassador to Earth,Vulcan
Spock,Spock,m,"Leonard Nimoy, Zachary Quinto, Ethan Peck","TC, TOS, TAS, ST:I, ST:II, ST:III, ST:VI, Reboot, TNG, DSC, SNW","Ambassador, Captain, Commander","New Vulcan resident, USS Enterprise-A, USS Enterprise, Instructor","Federation Ambassador, First Officer, Science Officer",Vulcan/Human
Paul Stamets,Paul,m,Anthony Rapp,DSC,"Lt. Commander, Lieutenant ",USS Discovery,Science Officer,Human
Lon Suder,Lon,m,Brad Dourif,VOY,Crewman,USS Voyager,"Engineering Officer, Maquis ",Betazoid
Hikaru Sulu,Hikaru,m,"George Takei, John Cho","TOS, TAS, ST:I, ST:II, ST:III, ST:VI, Reboot, VOY","Captain, Commander, Lt. Commander, Lieutenant","USS Excelsior, USS Enterprise-A , USS Enterprise","Commanding Officer, Helmsman",Human
Enabran Tain,Enabran,m,Paul Dooley,DS9,,Cardassia resident,Leader of Obsidian Order,Cardassian
Tal Celes,Tal Celes,f,Zoe McLellan,VOY,Crewman,USS Voyager,Operations Officer,Bajoran
Sylvia Tilly,Sylvia,f,Mary Wiseman,"DSC, ST","Ensign, Cadet",USS Discovery,"Engineering Officer, Starfleet Cadet",Human
Tomalak,Tomalak,m,Andreas Katsulas,TNG,Commander,IRW Terix,Commanding Officer,Romulan
Tora Ziyal,Tora,f,"Melanie Smith, Cyia Batten",DS9,Civilian,Deep Space 9 resident,Artist,Bajoran/Cardassian
B'Elanna Torres,B'Elanna,f,Roxann Dawson,VOY,Lieutenant Junior Grade,USS Voyager,"Chief Engineer, Maquis ",Klingon/Human
T'Pol,T'Pol,f,Jolene Blalock,ENT,"Commander, SubCommander",Enterprise NX-01,"First Officer, Science Officer",Vulcan
Traveler,Traveler,m,Eric Menyuk,TNG,Civilian,Tau Alpha C resident,,Unknown
Deanna Troi,Deanna,f,Marina Sirtis,"TNG, GEN, FCT, INS, NEM, VOY, ENT, STP","Commander, Lt. Commander","USS Titan, USS Enterprise-E, USS Enterprise-D","Diplomatic Officer, Counselor ",Betazoid/Human
Lwaxana Troi,Lwaxana,f,Majel Barrett,"TNG, DS9",Ambassador,Betazed resident,Federation Ambassador,Betazoid
Charles Tucker,Charles,m,Connor Trinneer,ENT,Commander,Enterprise NX-01,Chief Engineer,Human
Tuvok,Tuvok,m,Tim Russ,VOY,"Lt. Commander, Lieutenant ",USS Voyager,Chief of Security,Vulcan
Ash Tyler,Ash,m,Shazad Latif,DSC,Lieutenant ,USS Discovery,Chief Security Officer,Human/Klingon
Voq,Voq,m,Shazad Latif,DSC,Lieutenant ,USS Discovery,Chief Security Officer,Human/Klingon
José Tyler,José,m,Peter Duryea,TC,Lieutenant ,USS Enterprise,Helmsman,Human
Nyota Uhura,Nyota,f,"Nichelle Nichols, Zoe Saldana","TOS, TAS, ST:I, ST:II, ST:III, ST:IV, ST:V, ST:VI, Reboot","Commander, Lt. Commander, Lieutenant ","USS Enterprise-A, USS Enterprise",Communications Officer,Human
Una,Una,f,"Majel Barrett, Rebecca Romijn","TC, DSC, SNW",Lt. Commander,USS Enterprise,First Officer,Human
Vash,Vash,f,Jennifer Hetrick,"TNG, DS9",Civilian,Earth resident,Archeologist,Human
Vorik,Vorik,m,Alexander Enberg,VOY,Ensign,USS Voyager,Engineering Officer,Vulcan
Weyoun,Weyoun,m,Jeffrey Combs,DS9,,Cardassia Prime,Dominion Leader,Vorta
Naomi Wildman,Naomi,f,Scarlett Pomers,VOY,Civilian,USS Voyager resident,Captain's Assistant,Ktarian/Human
Samantha Wildman,Samantha,f,Nancy Hower,VOY,Ensign,USS Voyager,Science Officer,Human
Winn Adami,Winn,f,Louise Fletcher,DS9,"Kai, Vedek",Bajor resident,Bajoran Religious Leader,Bajoran
Worf,Worf,m,Michael Dorn,"TNG, GEN,FCT,INS,NEM, DS9","Lt. Commander, Ambassador, Lieutenant, Lieutenant Junior Grade","USS Enterprise-E, Qo'noS, Deep Space 9, USS Enterprise-D","Strategic Operations Officer, Ambassador, Chief Security Officer, Helmsman ",Klingon
Tasha Yar,Tasha,f,Denise Crosby,TNG,Lieutenant,USS Enterprise-D,Chief Security Officer,Human
Kasidy Yates,Kasidy,f,Penny Johnson Jerald,DS9,Captain,"SS Xhosa, Deep Space 9 resident",Freighter Captain,Human
Zek,Zek,m,Wallace Shawn,DS9,Grand Nagus,Ferenginar resident,Leader of Ferengi Economics,Ferengi
Zhaban,Zhaban,m,Jamie McShane,STP,Civilian,Earth resident,Butler,Romulan
Soren,Soren,unisex,Melinda Culea,TNG,Civilian,,Shuttle Pilot,J'naii
